"B01001_001E","B11001_001E","B19049_005E","zipcode"
"16882","7580","18202","02724"
"2779","970","33315","02725"
"15393","6013","32382","02726"
"4926","1873","49808","02738"
"6073","2436","54522","02739"
"43505","17730","20700","02740"
"10310","3829","31019","02743"
"11892","4794","17974","02744"
"25039","10352","29858","02745"
"14451","5939","18324","02746"
"20903","6839","40910","02747"
"12974","5328","30778","02748"
"26666","9855","36049","02760"
"8176","3232","30189","02762"
"1927","571","35221","02763"
"4256","1433","36050","02764"
"18970","6297","43883","02766"
"13383","4773","43650","02767"
"11470","4093","44191","02769"
"5135","1681","38917","02770"
"13700","4752","35950","02771"
"15886","6173","33459","02777"
"6336","1970","29375","02779"
"48836","19330","30790","02780"
"15941","5996","42395","02790"
"29","15","0","02791"
"460","295","50000","02802"
"2761","1132","56938","02804"
"16415","5803","53377","02806"
"953","440","73438","02807"
"2704","1038","27604","02808"
"23116","8936","41273","02809"
"1829","623","75104","02812"
"7854","3145","47035","02813"
"7467","2769","36656","02814"
"283","89","0","02815"
"32825","12652","36090","02816"
"6028","2238","58750","02817"
"18296","7236","43107","02818"
"6227","2175","52500","02822"
"5377","1876","62554","02825"
"387","221","6995","02826"
"2082","794","42292","02827"
"7488","2952","36462","02828"
"6974","2589","19859","02830"
"3340","1164","28625","02831"
"5166","2134","46053","02832"
"467","247","20673","02833"
"5418","2330","80833","02835"
"61","32","0","02836"
"3502","1412","77813","02837"
"3713","1498","34018","02838"
"1999","744","48333","02839"
"23652","10897","42769","02840"
"969","0","0","02841"
"16200","6433","42937","02842"
"22706","9013","53422","02852"
"8256","3086","50288","02857"
"526","136","0","02858"
"6246","2183","34250","02859"
"44005","18344","19736","02860"
"27555","10820","28395","02861"
"19360","6687","17076","02863"
"33085","12927","33175","02864"
"17119","6631","38980","02865"
"17239","6972","41042","02871"
"79","40","0","02872"
"105","52","0","02873"
"5838","2111","53250","02874"
"366","183","31318","02875"
"81","70","0","02876"
"15706","6516","40030","02878"
"21009","8563","51117","02879"
"7258","1139","53917","02881"
"14397","6213","44641","02882"
"10733","4550","33656","02885"
"29449","12904","29167","02886"
"19718","8472","28435","02888"
"28676","11507","34022","02889"
"20997","8687","40403","02891"
"4390","1577","39007","02892"
"29446","12943","32020","02893"
"303","133","58578","02894"
"41476","16659","25983","02895"
"11771","4459","30889","02896"
"1546","542","47083","02898"
"10011","4400","14375","02903"
"29446","13171","25229","02904"
"25685","8470","25337","02905"
"28673","11480","59831","02906"
"28081","8665","21826","02907"
"38895","12831","24989","02908"
"41014","13930","25282","02909"
"21167","8307","28285","02910"
"15757","6608","26690","02911"
"2014","7","0","02912"
"22154","9237","25377","02914"
"16506","7590","24381","02915"
"8605","3733","41154","02916"
"13965","4297","32200","02917"
"28832","11448","24784","02919"
"37908","14125","33132","02920"
"11792","4163","30197","02921"
"11198","3941","61080","03031"
"4958","1705","34932","03032"
"4930","1668","60536","03033"
"3985","1459","48333","03034"
"4684","1551","48889","03036"
"4200","1476","61250","03037"
"33689","12970","34837","03038"
"6261","2465","44435","03042"
"1606","613","70208","03043"
"4232","1486","64167","03044"
"13704","5112","29620","03045"
"2727","1041","77708","03046"
"1493","558","43068","03047"
"3656","1355","33000","03048"
"7653","2680","51786","03049"
"24394","8808","43092","03051"
"8216","2730","54563","03052"
"23909","8310","52813","03053"
"25559","9421","45462","03054"
"15009","5896","32591","03055"
"2467","831","75313","03057"
"28182","12057","25056","03060"
"28026","10689","39534","03062"
"15871","6654","43073","03063"
"14784","5820","47768","03064"
"5228","1839","76949","03070"
"5039","1547","37212","03071"
"12742","4275","46184","03076"
"10158","3899","24813","03077"
"28893","11194","37122","03079"
"1459","574","34063","03082"
"1399","580","39167","03084"
"3814","1442","38600","03086"
"13378","4560","40278","03087"
"2835","1691","13080","03101"
"31707","13028","26686","03102"
"36649","14055","30505","03103"
"32309","13311","38727","03104"
"13317","4716","49828","03106"
"10251","3987","42586","03109"
"20980","7002","55111","03110"
"428","185","51136","03215"
"2021","789","51250","03216"
"1507","684","21964","03217"
"760","266","27083","03218"
"7364","2886","24945","03220"
"1910","769","31250","03221"
"5673","2269","34295","03222"
"3385","1351","25679","03223"
"2458","954","56667","03224"
"3834","1441","53333","03225"
"960","414","38833","03226"
"1054","494","38125","03227"
"5622","2373","67016","03229"
"1178","490","23438","03230"
"401","161","65208","03231"
"167","69","6853","03233"
"4555","1626","31125","03234"
"8675","3413","23525","03235"
"2601","940","18977","03237"
"62","23","0","03238"
"1325","553","29318","03240"
"739","301","36750","03241"
"4837","1689","33438","03242"
"1270","445","40417","03243"
"8117","3030","40850","03244"
"1600","657","46346","03245"
"16126","6885","36464","03246"
"7157","3003","45417","03249"
"1261","591","38636","03251"
"6260","2864","54007","03253"
"4131","1777","55781","03254"
"2092","827","45536","03255"
"2283","877","42969","03256"
"4367","1652","59286","03257"
"2524","941","37143","03258"
"318","159","61429","03259"
"748","300","55469","03260"
"4208","1753","44500","03261"
"1301","521","27368","03262"
"4128","1528","22188","03263"
"7378","2305","43917","03264"
"2277","920","37386","03266"
"1205","451","48125","03268"
"2939","1153","47266","03269"
"275","95","36806","03273"
"11585","4673","32401","03275"
"8410","3199","28524","03276"
"3012","1125","38661","03278"
"679","288","38125","03279"
"1116","465","57222","03280"
"8711","3012","57786","03281"
"999","390","38929","03282"
"866","329","36250","03284"
"2512","959","26250","03285"
"1310","511","36750","03287"
"4636","1732","42031","03290"
"50","12","0","03291"
"79","43","28125","03293"
"33116","13859","32216","03301"
"15523","6264","31196","03303"
"7559","2577","66638","03304"
"5281","1912","63964","03307"
"25466","9923","31875","03431"
"2623","1039","39250","03440"
"384","164","0","03441"
"1347","551","32917","03442"
"939","343","39635","03443"
"1665","585","45469","03444"
"749","260","38750","03445"
"6246","2453","33352","03446"
"2389","1071","38750","03447"
"588","244","38750","03448"
"1703","724","50238","03449"
"857","407","34375","03450"
"4081","1835","25247","03451"
"5498","2314","30608","03452"
"2077","877","42740","03455"
"990","358","35521","03456"
"895","374","54167","03457"
"6654","2964","41250","03458"
"5991","1868","58287","03461"
"1596","679","52381","03462"
"1000","397","30556","03464"
"1974","774","34250","03465"
"1115","412","57440","03466"
"2045","687","44922","03467"
"5086","1972","33289","03470"
"5968","2554","34764","03561"
"10126","4457","26473","03570"
"2502","1105","24750","03574"
"73","25","0","03575"
"3205","1555","24441","03576"
"457","244","24167","03579"
"1499","593","62833","03580"
"3263","1544","25192","03581"
"2795","1197","28889","03582"
"865","392","44375","03583"
"3638","1480","31118","03584"
"2599","1094","35694","03585"
"629","280","44808","03586"
"1750","756","30833","03588"
"1175","554","27778","03590"
"1266","645","36736","03592"
"460","205","61250","03593"
"578","254","34792","03595"
"505","189","28125","03597"
"3152","1404","24519","03598"
"490","162","46875","03601"
"2570","976","37361","03602"
"5486","2471","21786","03603"
"250","104","0","03604"
"1144","428","24500","03605"
"261","127","22500","03607"
"2227","879","39464","03608"
"1267","431","24688","03609"
"733","282","28000","03740"
"4213","1613","27404","03741"
"14200","6016","27745","03743"
"1520","590","48750","03745"
"175","82","27500","03746"
"4625","2101","35268","03748"
"883","290","49886","03750"
"593","254","80208","03751"
"816","341","46250","03752"
"2914","1113","50556","03753"
"41","14","0","03754"
"10395","2549","76541","03755"
"576","259","22279","03765"
"9310","4188","37847","03766"
"1950","756","62500","03768"
"445","143","85469","03770"
"918","347","28472","03771"
"7833","3259","30000","03773"
"1415","549","32100","03774"
"1332","501","81667","03777"
